id,label,country,Lat ,Lon
HMG,Hermannsburg,Australia,-23.966667,132.666667
HNK,Hinchinbrook Island,Australia,-18.383333,146.283333
HOK,Hooker Creek,Australia,-18.366667,130.666667
HPE,Hope Vale,Australia,-14.666667,144.916667
HRY,Henbury,Australia,-24.666667,133.083333
HSM,Horsham,Australia,-36.70960814,142.1900183
HTI,Hamilton Island,Australia,-20.358056,148.951667
HTU,Hopetoun,Australia,-35.716667,142.35
HUB,Humbert River,Australia,-16.483333,130.633333
HVB,Hervey Bay,Australia,-25.28870319,152.8409444
HWK,Wilpena Pound,Australia,-31.883333,138.4
HXX,Hay,Australia,-34.516667,144.833333
IDK,Indulkana,Australia,-26.966667,133.325
IFF,Iffley,Australia,-18.916667,141.25
IFL,Innisfail,Australia,-17.53134723,146.0386722
IGH,Ingham,Australia,-18.64957355,146.1666231
IKP,Inkerman,Australia,-16.25,141.5
INJ,Injune,Australia,-25.85,148.55
INM,Innamincka,Australia,-27.833333,140.833333
IRG,Lockhart River,Australia,-12.783333,143.3
ISA,Mount Isa,Australia,-20.72386554,139.490028
ISI,Isisford,Australia,-24.2,144.416667
IVR,Inverell,Australia,-29.7667761,151.1125744
IVW,Inverway,Australia,-17.766667,129.233333
JAB,Jabiru,Australia,-10.216667,132.566667
JAD,Jandakot,Australia,-32.0975,115.881111
JCK,Julia Creek,Australia,-20.583333,141.7
JHQ,Shute Harbour H/P,Australia,-20.283333,148.75
JUN,Jundah,Australia,-24.8,143.033333
JUR,Jurien Bay,Australia,-30.269722,115.05
KAH,City Heliport,Australia,-37.716667,145.0
KAX,Kalbarri,Australia,-27.66618081,114.1666642
KBB,Kirkimbie,Australia,-17.766667,129.216667
KBD,Kimberley Downs,Australia,-17.4,124.366667
KBJ,Kings Canyon,Australia,-24.261389,131.490833
KBY,Streaky Bay,Australia,-32.81187176,134.2149296
KCE,Collinsville,Australia,-20.55,147.866667
KCS,Kings Creek Station,Australia,24.383333,131.683333
KDB,Kambalda,Australia,-31.2,121.666667
KDS,Kamaran Downs,Australia,-24.333333,139.166667
KFG,Kalkurung,Australia,-17.433333,130.816667
KGC,Kingscote,Australia,-35.713889,137.521389
KGI,Kalgoorlie-Boulder,Australia,-30.789444,121.461667
KGR,Kulgera,Australia,-25.833333,133.5
KGY,Kingaroy,Australia,-26.53896279,151.840592
KKP,Koolburra,Australia,-15.583333,143.95
KML,Kamileroi,Australia,-19.5,140.083333
KNI,Katanning,Australia,-33.69955931,117.5500752
KNS,King Island,Australia,-39.883056,143.883056
KNX,Kununurra,Australia,-15.76659707,128.7333203
KOH,Koolatah,Australia,-15.966667,142.416667
KPP,Kalpowar,Australia,-14.883333,144.216667
KPS,Kempsey,Australia,-31.08736733,152.8220308
KQB,Koonibba,Australia,-31.966667,133.45
KRA,Kerang,Australia,-35.75,143.933333
KRB,Karumba,Australia,-17.48333982,140.8334086
KRD,Kurundi,Australia,-20.5,134.633333
KTA,Karratha,Australia,-20.73037677,116.8700134
KTR,Tindal,Australia,-14.516667,132.366667
KUG,Kubin Island,Australia,-10.25,142.216667
KWM,Kowanyama,Australia,-15.487778,141.76
KYB,Yangoonabie,Australia,-31.466667,130.066667
KYF,Yeelirrie,Australia,-27.277778,120.075
